feature,mean_importance
Gender,3.812011225978324e-05
APR Severity of Illness Description,6.860479359323962e-05
Payment Typology 1,9.277542401689293e-05
Abortion Edit Indicator,0.00010966172031927902
APR Risk of Mortality,0.00024443819510315404
Ethnicity,0.0002445912082739823
APR MDC Code,0.0002694288033394998
Patient Disposition,0.00034203483937998854
Payment Typology 3,0.0003597839893835844
Race,0.0005010894177729375
CCS Diagnosis Description,0.0008517440492046141
Payment Typology 2,0.0009347713885048097
APR Severity of Illness Code,0.0010384620166046452
Emergency Department Indicator,0.0010966945085441285
CCS Procedure Description,0.0011205930705604841
APR DRG Code,0.0012448138945205522
CCS Procedure Code,0.001478301651842169
Type of Admission,0.0023298160376346274
CCS Diagnosis Code,0.0027759300276769955
APR DRG Description,0.003016494640554085
APR MDC Description,0.0033278747158059147
APR Medical Surgical Description,0.004817886738313465
Age Group,0.009382845868183552
Zip Code - 3 digits,0.009480943091522791
sparcs_los,0.011667284220856552
Birth Weight,0.012537254430461855
Hospital County,0.020655816735151766
Health Service Area,0.023498960384548746
Facility Id,0.030183912737294528
Operating Certificate Number,0.04628957463188378
Facility Name,0.06558118664413941
Total Charges,1.850819075046958
