feature,mean_importance
CCS Procedure Description,-0.00020395474875990472
APR Severity of Illness Description,0.00013023770044415795
Abortion Edit Indicator,0.0001479148736831748
APR Risk of Mortality,0.0003336381649771569
Gender,0.0005120381359630499
CCS Diagnosis Description,0.0005507663997608881
Payment Typology 3,0.0007905349116470062
Age Group,0.000838996777740042
Ethnicity,0.0008939036954323798
Payment Typology 1,0.0009071039970218242
Patient Disposition,0.0009623437010677027
APR DRG Description,0.001048513299673881
Type of Admission,0.0017287719455253204
Payment Typology 2,0.002320457564300493
CCS Diagnosis Code,0.00285685043363072
Race,0.0031113069324184227
APR Severity of Illness Code,0.003268821045300241
APR MDC Description,0.003493544018127548
Emergency Department Indicator,0.007645713674075854
CCS Procedure Code,0.007754454663701793
APR MDC Code,0.007797273598794452
Facility Id,0.013028244992570437
APR Medical Surgical Description,0.01844527777726266
Health Service Area,0.020974094209733406
Zip Code - 3 digits,0.027087364822019434
APR DRG Code,0.027263017432856113
Hospital County,0.028302166595194328
Facility Name,0.03096086809049615
Birth Weight,0.035300098680972294
Operating Certificate Number,0.04411812272170339
sparcs_los,0.04742975254545394
Total Charges,1.1558604359142215
