feature,mean_importance
Age Group,-2.8658359279909452e-05
APR DRG Code,-1.9351866026928733e-05
Gender,5.551115123125783e-18
APR MDC Description,1.1102230246251566e-17
CCS Procedure Description,1.1102230246251566e-17
Payment Typology 3,1.6653345369377347e-17
Payment Typology 1,1.6653345369377347e-17
Ethnicity,1.6653345369377347e-17
Patient Disposition,1.6653345369377347e-17
CCS Diagnosis Description,1.6653345369377347e-17
Payment Typology 2,1.6653345369377347e-17
Abortion Edit Indicator,2.2204460492503132e-17
Emergency Department Indicator,2.2204460492503132e-17
CCS Procedure Code,2.2204460492503132e-17
Race,2.2204460492503132e-17
APR DRG Description,2.7755575615628914e-17
APR Risk of Mortality,2.7755575615628914e-17
Health Service Area,2.7755575615628914e-17
Type of Admission,2.7755575615628914e-17
APR MDC Code,5.074394504100965e-06
Facility Name,1.681790671071437e-05
CCS Diagnosis Code,2.2683122154837365e-05
Operating Certificate Number,8.780381282486038e-05
Facility Id,0.00016779295154224495
APR Severity of Illness Description,0.00022080058079569919
Hospital County,0.0005235718960783064
APR Severity of Illness Code,0.0006381611681802845
Zip Code - 3 digits,0.0017543713116565773
APR Medical Surgical Description,0.0017970381981426754
sparcs_los,0.012974188794153907
Birth Weight,0.025827179039336616
Total Charges,1.3598316129532795
