feature,mean_importance
Payment Typology 3,-0.001438443909490794
Abortion Edit Indicator,0.0014409264196590167
Race,0.0019919040385268484
Gender,0.002600585361369601
Payment Typology 1,0.0031553124020699207
Ethnicity,0.0045531116964258045
APR Severity of Illness Description,0.005991573109099491
APR Risk of Mortality,0.0077732371329962465
CCS Diagnosis Description,0.008102222939107251
Facility Id,0.009659973269729205
Hospital County,0.011537517256687358
CCS Procedure Code,0.012256619684111703
Payment Typology 2,0.012327350409569693
CCS Procedure Description,0.01247142835694356
Type of Admission,0.012622088509392615
Health Service Area,0.013357425472001149
APR DRG Code,0.014998011631009545
APR MDC Description,0.017553842525069807
Patient Disposition,0.018399083315732746
APR Severity of Illness Code,0.019491193551597275
Facility Name,0.0202365334643995
Birth Weight,0.025434942023042074
Zip Code - 3 digits,0.026841997473940137
Age Group,0.03078293352398471
APR DRG Description,0.039512863789328334
Operating Certificate Number,0.0459608907645621
APR MDC Code,0.056470646993154495
Emergency Department Indicator,0.08956441559514053
CCS Diagnosis Code,0.094106405488065
APR Medical Surgical Description,0.12746383929390967
Total Charges,0.6256501394052375
Total Costs,0.82886413062347
