feature,mean_importance
Birth Weight,-2.3705666790019288e-05
Payment Typology 3,-1.763850421548918e-05
Ethnicity,-1.0721639542909944e-05
Health Service Area,-6.616002684645128e-06
Abortion Edit Indicator,0.0
APR Risk of Mortality,0.0
Gender,0.0
Race,0.0
Facility Name,9.918101789241351e-06
CCS Procedure Description,1.2165762898797005e-05
Payment Typology 1,2.3266345898720342e-05
Payment Typology 2,2.459292052719997e-05
CCS Diagnosis Description,4.6788869066205495e-05
APR MDC Description,0.00013798557835642544
Hospital County,0.00020635588592393672
CCS Procedure Code,0.00027014443443929004
Patient Disposition,0.0007442608459429234
Emergency Department Indicator,0.0017023355422958741
Zip Code - 3 digits,0.0019017822040727993
APR DRG Description,0.0021920849866102986
Age Group,0.00247999551065623
APR DRG Code,0.002780054098888163
Facility Id,0.0030676174039763527
APR Severity of Illness Description,0.00338135965531966
Operating Certificate Number,0.004638079695201747
APR MDC Code,0.005860676011929034
Type of Admission,0.010524286172859654
APR Medical Surgical Description,0.020552218810555644
APR Severity of Illness Code,0.02225374464298241
CCS Diagnosis Code,0.03645446951706055
Total Charges,0.04140140757283324
Total Costs,0.3262787058482924
